clip_id,best_lag,zero_lag_iou,peak_iou,improvement,headroom_recovered,peak_margin,n_models,model_spread,vad_lag,vad_agrees,duration,flagged,reason
RZUZyvRzi80__0_336,-0.01,0.9828453660011292,0.9829363822937012,9.101629257202148e-05,0.0053056388482559495,0.017338335514068604,3,5.02,-0.07,True,336.0,False,"lag -0.01s below 1.0s; IoU gain 0.000 below 0.01; recovers 0.01 of headroom, below 0.35; peak margin 0.017 below 0.02"
PVDfS7lcJHY__0_360,-0.01,0.9566125273704529,0.956668496131897,5.59687614440918e-05,0.001289975148402093,0.0421101450920105,3,3.4899999999999998,-0.05,True,360.0,False,"lag -0.01s below 1.0s; IoU gain 0.000 below 0.01; recovers 0.00 of headroom, below 0.35"
QhpjuNTZoA8__0_586,-0.01,0.9724684953689575,0.9725193381309509,5.08427619934082e-05,0.0018467120731237362,0.01755523681640625,3,0.02,-0.03,True,586.0,False,"lag -0.01s below 1.0s; IoU gain 0.000 below 0.01; recovers 0.00 of headroom, below 0.35; peak margin 0.018 below 0.02"
CO_8ppdzq9U__0_695,-0.01,0.9423720240592957,0.9424022436141968,3.0219554901123047e-05,0.0005243903574232264,0.05406153202056885,3,0.06,0.12,True,695.0,False,"lag -0.01s below 1.0s; IoU gain 0.000 below 0.01; recovers 0.00 of headroom, below 0.35"
0esIFSOAcFs__0_913,0.01,0.9718987941741943,0.9719206094741821,2.181529998779297e-05,0.0007763118822381539,0.008667588233947754,3,1.28,-0.06,True,913.0,False,"lag +0.01s below 1.0s; IoU gain 0.000 below 0.01; recovers 0.00 of headroom, below 0.35; peak margin 0.009 below 0.02"
6-726qTlYeg__102_162,0.0,0.9998332858085632,0.9998332858085632,0.0,0.0,1.3709068298339844e-06,3,0.02,-4.87,False,60.0,False,"lag +0.00s below 1.0s; IoU gain 0.000 below 0.01; recovers 0.00 of headroom, below 0.35; peak margin 0.000 below 0.02"
9Aw8kg8w5Xo__0_83,0.0,0.9707014560699463,0.9707014560699463,0.0,0.0,0.0378493070602417,3,0.17,0.11,True,83.0,False,"lag +0.00s below 1.0s; IoU gain 0.000 below 0.01; recovers 0.00 of headroom, below 0.35"
A_dohDOK6Ic__0_600,0.0,0.9483141303062439,0.9483141303062439,0.0,0.0,0.04608684778213501,3,3.02,-0.04,True,600.0,False,"lag +0.00s below 1.0s; IoU gain 0.000 below 0.01; recovers 0.00 of headroom, below 0.35"
BGAAfht5dYw__0_612,0.0,0.9535626769065857,0.9535626769065857,0.0,0.0,0.030618906021118164,3,0.07,0.12,True,612.0,False,"lag +0.00s below 1.0s; IoU gain 0.000 below 0.01; recovers 0.00 of headroom, below 0.35"
F2uXav-wriA__0_907,0.0,0.9616379141807556,0.9616379141807556,0.0,0.0,0.03305220603942871,3,0.03,-0.02,True,907.0,False,"lag +0.00s below 1.0s; IoU gain 0.000 below 0.01; recovers 0.00 of headroom, below 0.35"
