clip_id,best_lag,zero_lag_iou,peak_iou,improvement,headroom_recovered,peak_margin,n_models,model_spread,vad_lag,vad_agrees,duration,flagged,reason,proposed_offset_sec,verified,note
VKY0uuZ6Om8__575_935,5.0,0.9439984560012817,0.975062906742096,0.03106445074081421,0.5547070406045447,0.026555538177490234,3,9.92,5.0,True,360.0,True,strong candidate,5.0,,
2iMXYxBTwbM__339_401,4.64,0.6914351582527161,0.959333062171936,0.26789790391921997,0.8682061844836801,0.13503926992416382,3,0.009999999999999787,4.5600000000000005,True,62.0,True,strong candidate,4.5,,
8r2Nltl0W4o__259_320,-4.58,0.9431053996086121,0.9720329642295837,0.02892756462097168,0.5084413006150652,0.020938336849212646,3,0.2599999999999998,-1.9100000000000001,False,61.0,True,strong candidate,-4.5,,
7YfsQPYY-W0__351_411,4.5200000000000005,0.9278212785720825,0.988878607749939,0.061057329177856445,0.8459186858668921,0.03535240888595581,3,0.23000000000000043,4.5,True,60.0,True,strong candidate,4.5,,
PRAzUz0GANs__223_283,4.36,0.9378229975700378,0.9869220852851868,0.049099087715148926,0.7896663685332121,0.037834346294403076,3,2.23,4.3,True,60.0,True,strong candidate,4.5,,
4Qg2jWP6_T0__136_202,4.04,0.8367883563041687,0.9396206736564636,0.10283231735229492,0.6300550317594861,0.07263970375061035,3,0.20999999999999996,4.07,True,66.0,True,strong candidate,4.0,,
7k-xDqNjESc__73_981,4.01,0.875363290309906,0.9394301176071167,0.0640668272972107,0.5140285511107541,0.04771840572357178,3,0.1900000000000004,4.07,True,908.0,True,strong candidate,4.0,,
IAm1rt-MYcA__4_558,3.98,0.8701244592666626,0.9626641273498535,0.09253966808319092,0.7125257578191331,0.043048202991485596,3,0.040000000000000036,4.03,True,554.0,True,strong candidate,4.0,,
L7xRazDdtgw__19_83,3.92,0.6446313261985779,0.8610278964042664,0.21639657020568848,0.6089354131608392,0.10829746723175049,3,0.08000000000000007,3.91,True,64.0,True,strong candidate,4.0,,
ARCKJrGkITw__14_496,3.91,0.9517011642456055,0.9885458946228027,0.036844730377197266,0.7628492447428177,0.027370214462280273,3,0.5200000000000005,3.87,True,482.0,True,strong candidate,4.0,,
7c9ePKgqams__299_869,3.7600000000000002,0.9193548560142517,0.9686377644538879,0.04928290843963623,0.6111081957810822,0.03942573070526123,3,0.10999999999999988,3.73,True,570.0,True,strong candidate,4.0,,
37dND_0r6S8__60_222,3.73,0.9298061728477478,0.9738414883613586,0.04403531551361084,0.6273388601265054,0.02612203359603882,3,1.2999999999999998,3.67,True,162.0,True,strong candidate,3.5,,
87Zbup3ohcw__106_445,3.63,0.8734050393104553,0.9571610689163208,0.08375602960586548,0.6616063479119417,0.04814940690994263,3,0.54,3.58,True,339.0,True,strong candidate,3.5,,
LqQHdo7t5Ps__198_498,3.47,0.9518983960151672,0.9834436178207397,0.03154522180557251,0.6558039481494057,0.026687026023864746,3,3.47,3.56,True,300.0,True,strong candidate,3.5,,
7L4gi7Ncc0s__90_148,3.02,0.899982750415802,0.9761001467704773,0.07611739635467529,0.7610426868477024,0.03549879789352417,3,3.02,3.0700000000000003,True,58.0,True,strong candidate,3.0,,
OXUt5KnlUMo__91_181,3.0,0.8965440392494202,0.9596620798110962,0.06311804056167603,0.6100957364249529,0.044808268547058105,3,5.48,2.96,True,90.0,True,strong candidate,3.0,,
LBIWBxQ5H1s__90_1020,3.0,0.9150561690330505,0.9719046950340271,0.05684852600097656,0.6692484357468594,0.044367074966430664,3,0.040000000000000036,3.0700000000000003,True,930.0,True,strong candidate,3.0,,
6ZeRgvDHwcI__6_100,2.98,0.554302990436554,0.7701593637466431,0.2158563733100891,0.48431191746500024,0.18337535858154297,3,0.03000000000000025,2.97,True,94.0,True,strong candidate,3.0,,
0p6cktLGIfY__12_930,2.91,0.7859874367713928,0.9604021310806274,0.17441469430923462,0.814974091604733,0.057534098625183105,3,2.09,2.86,True,918.0,True,strong candidate,3.0,,
JBYGLQJwFDc__103_407,2.8000000000000003,0.753673255443573,0.9420776963233948,0.18840444087982178,0.7648558065389577,0.07881385087966919,3,2.8000000000000003,2.7600000000000002,True,304.0,True,strong candidate,3.0,,
Bngfppo1QtA__28_927,2.45,0.916822612285614,0.956428050994873,0.03960543870925903,0.4761563184125949,0.025683164596557617,3,0.040000000000000036,2.47,True,899.0,True,strong candidate,2.5,,
VY_4x1scS-Y__13_121,2.38,0.9384972453117371,0.9731453061103821,0.03464806079864502,0.5633578686721359,0.025886714458465576,3,2.38,2.44,True,108.0,True,strong candidate,2.5,,
2HGP34TNvjg__84_194,2.24,0.8422287106513977,0.9086798429489136,0.06645113229751587,0.42118646917240626,0.0373879075050354,3,2.68,2.32,True,110.0,True,strong candidate,2.0,,
ExGJodnzocM__212_527,2.14,0.9156680107116699,0.9588239192962646,0.04315590858459473,0.5117382970422432,0.036644041538238525,3,2.86,2.23,True,315.0,True,strong candidate,2.0,,
6f6TLzlP8Wk__82_144,2.07,0.8404392600059509,0.9552079439163208,0.11476868391036987,0.7192789649549773,0.07063823938369751,3,0.040000000000000036,2.07,True,62.0,True,strong candidate,2.0,,
Gq45evw6ytY__597_1464,2.02,0.8982256650924683,0.9615004062652588,0.06327474117279053,0.621716086184985,0.04918217658996582,3,1.4900000000000002,1.98,True,867.0,True,strong candidate,2.0,,
PSIzXy5-y2E__2_918,2.0,0.8334159255027771,0.9383305907249451,0.10491466522216797,0.6298000906678326,0.06577801704406738,3,0.22999999999999998,2.0300000000000002,True,916.0,True,strong candidate,2.0,,
0SoItGfM_sY__7_88,1.93,0.7700205445289612,0.8983808159828186,0.12836027145385742,0.558137991895636,0.042112112045288086,3,0.4099999999999999,2.0300000000000002,True,81.0,True,strong candidate,2.0,,
DPmew0didIM__191_512,1.93,0.8825643658638,0.9474095106124878,0.06484514474868774,0.5521760513804642,0.04274463653564453,3,0.020000000000000018,1.87,True,321.0,True,strong candidate,2.0,,
IfTL8SSN270__62_671,1.81,0.9425514340400696,0.9741588830947876,0.03160744905471802,0.5501869111365422,0.024546146392822266,3,0.050000000000000044,1.87,True,609.0,True,strong candidate,2.0,,
RL2fhIEEbZg__66_1034,1.56,0.9276400804519653,0.9663183689117432,0.03867828845977783,0.5345264160237496,0.0320889949798584,3,0.040000000000000036,1.49,True,968.0,True,strong candidate,1.5,,
HpYG46tGyYs__103_998,1.47,0.9306116700172424,0.9678218960762024,0.03721022605895996,0.5362605796710541,0.020940303802490234,3,1.47,1.61,True,895.0,True,strong candidate,1.5,,
Jc5AVwg2cZM__153_214,1.44,0.6912671327590942,0.9405900835990906,0.24932295083999634,0.8075685399748788,0.1224927306175232,3,0.1200000000000001,1.47,True,61.0,True,strong candidate,1.5,,
Tlha36rSd5o__240_374,1.37,0.8495522141456604,0.9412892460823059,0.09173703193664551,0.6097599337584362,0.0530967116355896,3,0.040000000000000036,1.26,True,134.0,True,strong candidate,1.5,,
Cku_X_SL7qU__60_660,1.31,0.6684258580207825,0.7957630753517151,0.12733721733093262,0.38403844332020887,0.07669305801391602,3,0.030000000000000027,1.4000000000000001,True,600.0,True,strong candidate,1.5,,
T3I2T-cfhG4__160_210,1.31,0.9037807583808899,0.963308572769165,0.059527814388275146,0.6186685052447174,0.03999018669128418,3,1.33,1.3900000000000001,True,50.0,True,strong candidate,1.5,,
0VEwL9XZ0LY__261_557,1.24,0.879701554775238,0.9641573429107666,0.08445578813552856,0.7020522000740237,0.05837225914001465,3,1.19,1.33,True,296.0,True,strong candidate,1.0,,
2T4pjueLrsk__677_1290,1.18,0.7846639752388,0.9284967184066772,0.1438327431678772,0.6679455670614456,0.09711015224456787,3,0.030000000000000027,1.1500000000000001,True,613.0,True,strong candidate,1.0,,
86mMTUeDiR8__181_1079,1.02,0.7936781048774719,0.937587320804596,0.14390921592712402,0.6974985172643013,0.09473836421966553,3,0.020000000000000018,0.96,True,898.0,True,strong candidate,1.0,,
