system,clip_id,script,n_ref_words,n_hyp,wer,cpwer,di_cpwer,cp_minus_di_cp,wder,hits,sub,del,ins,wder_num,wder_denom,cp_mapping,attribution_diar,errors,cphits,cpsub,cpdel,cpins,cpn_ref_words,cperrors,di_cphits,di_cpsub,di_cpdel,di_cpins,di_cpn_ref_words,di_cperrors,wder_correct_wrong_spk,wder_sub_wrong_spk
sarvam-saaras-v3@reverb-v2,IAm1rt-MYcA__4_558,Bengali,1620,1547,0.21604938271604937,0.26296296296296295,0.21604938271604937,0.04691358024691358,0.038943894389438946,1302,213,105,32,59,1515,"{'SPEAKER_02': 'Speaker_A', 'SPEAKER_03': 'Speaker_B', 'SPEAKER_00': 'Speaker_C', 'SPEAKER_01': 'Speaker_D'}",reverb-v2,350,1260,221,139,66,1620,426,1302,213,105,32,1620,350,42,17
sarvam-saaras-v3@reverb-v2,Iare1Emeueg__16_69,Devanagari,139,143,0.17266187050359713,0.7913669064748201,0.17266187050359713,0.618705035971223,0.4632352941176471,122,14,3,7,63,136,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_02': 'Speaker_B'}",reverb-v2,24,71,30,38,42,139,110,122,14,3,7,139,24,54,9
sarvam-saaras-v3@reverb-v2,IfTL8SSN270__62_671,Devanagari,2214,2122,0.13233965672990064,0.1996386630532972,0.13233965672990064,0.06729900632339655,0.07396733909702209,1961,121,132,40,154,2082,"{'SPEAKER_02': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_01': 'Speaker_C', 'SPEAKER_03': 'Speaker_D'}",reverb-v2,293,1864,166,184,92,2214,442,1961,121,132,40,2214,293,117,37
sarvam-saaras-v3@reverb-v2,Ig6szCD8m20__46_106,Devanagari,184,179,0.19021739130434784,0.2608695652173913,0.19021739130434784,0.07065217391304346,0.05202312138728324,155,18,11,6,9,173,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_B'}",reverb-v2,35,148,19,17,12,184,48,155,18,11,6,184,35,6,3
sarvam-saaras-v3@reverb-v2,Iqhnt8ENm3U__27_88,Devanagari,177,157,0.519774011299435,0.8587570621468926,0.519774011299435,0.3389830508474576,0.3971631205673759,101,40,36,16,56,141,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_03': 'Speaker_B', 'SPEAKER_00': 'Speaker_C'}",reverb-v2,92,67,48,62,42,177,152,101,40,36,16,177,92,32,24
sarvam-saaras-v3@reverb-v2,J4-VpEkBzWw__0_600,Kannada,1543,1496,0.2235904082955282,0.26895657809462087,0.2235904082955282,0.045366169799092665,0.0472550382209868,1255,184,104,57,68,1439,"{'SPEAKER_06': 'Speaker_A', 'SPEAKER_05': 'Speaker_B', 'SPEAKER_04': 'Speaker_C', 'SPEAKER_00': 'Speaker_D', 'SPEAKER_03': 'Speaker_E', 'SPEAKER_02': 'Speaker_F', 'SPEAKER_01': 'Speaker_G'}",reverb-v2,345,1205,214,124,77,1543,415,1255,184,104,57,1543,345,44,24
sarvam-saaras-v3@reverb-v2,JBYGLQJwFDc__103_407,Tamil,658,651,0.24924012158054712,0.38753799392097266,0.24924012158054712,0.13829787234042554,0.09697933227344992,516,113,29,22,61,629,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_B'}",reverb-v2,164,473,108,77,70,658,255,516,113,29,22,658,164,44,17
sarvam-saaras-v3@reverb-v2,JSB1CeS4pP8__0_632,Gurmukhi,2086,1969,0.23777564717162034,0.2550335570469799,0.23777564717162034,0.01725790987535955,0.02072538860103627,1629,301,156,39,40,1930,"{'SPEAKER_03': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_02': 'Speaker_C', 'SPEAKER_01': 'Speaker_D'}",reverb-v2,496,1605,313,168,51,2086,532,1629,301,156,39,2086,496,28,12
sarvam-saaras-v3@reverb-v2,Jc5AVwg2cZM__153_214,Devanagari,164,142,0.3475609756097561,0.5792682926829268,0.3475609756097561,0.23170731707317072,0.21014492753623187,111,27,26,4,29,138,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_02': 'Speaker_B', 'SPEAKER_01': 'Speaker_C'}",reverb-v2,57,89,33,42,20,164,95,111,27,26,4,164,57,21,8
sarvam-saaras-v3@reverb-v2,KAtdcDieQMw__57_599,Oriya,1717,1543,0.4979615608619686,0.5911473500291206,0.4979615608619686,0.09318578916715198,0.15764546684709066,927,551,239,65,233,1478,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_02': 'Speaker_B', 'SPEAKER_00': 'Speaker_C'}",reverb-v2,855,842,561,314,140,1717,1015,927,551,239,65,1717,855,93,140
