system,clip_id,script,n_ref_words,n_hyp,wer,cpwer,di_cpwer,cp_minus_di_cp,wder,hits,sub,del,ins,errors,cphits,cpsub,cpdel,cpins,cpn_ref_words,cperrors,cp_mapping,di_cphits,di_cpsub,di_cpdel,di_cpins,di_cpn_ref_words,di_cperrors,wder_num,wder_denom,wder_correct_wrong_spk,wder_sub_wrong_spk
sarvam-saaras-v3@reverb-v2,6ZeRgvDHwcI__6_100,Gujarati,189,196,0.164021164021164,0.20634920634920634,0.164021164021164,0.042328042328042326,0.03208556149732621,167,20,2,9,31,164,18,7,14,189,39,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_00': 'Speaker_B'}",167,20,2,9,189,31,6,187,5,1
sarvam-saaras-v3@reverb-v2,6f6TLzlP8Wk__82_144,Gurmukhi,236,222,0.3008474576271186,0.6864406779661016,0.3008474576271186,0.385593220338983,0.2863849765258216,174,39,23,9,71,137,22,77,63,236,162,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_02': 'Speaker_B'}",174,39,23,9,236,71,61,213,38,23
sarvam-saaras-v3@reverb-v2,7L4gi7Ncc0s__90_148,Malayalam,120,108,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0,0.0,92,12,16,4,32,92,12,16,4,120,32,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_00': 'Speaker_B'}",92,12,16,4,120,32,0,104,0,0
sarvam-saaras-v3@reverb-v2,7WhVNRHbjIY__91_1089,Tamil,2491,2513,0.20594138900040143,0.24448012846246486,0.20594138900040143,0.03853873946206343,0.025925925925925925,2061,369,61,83,513,2019,357,115,137,2491,609,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_04': 'Speaker_B', 'SPEAKER_03': 'Speaker_C', 'SPEAKER_02': 'Speaker_D', 'SPEAKER_00': 'Speaker_E'}",2061,369,61,83,2491,513,63,2430,42,21
sarvam-saaras-v3@reverb-v2,7YfsQPYY-W0__351_411,Oriya,197,187,0.5126903553299492,1.1116751269035532,0.5126903553299492,0.598984771573604,0.44642857142857145,115,53,29,19,101,57,51,89,79,197,219,{'SPEAKER_00': 'Speaker_A'},115,53,29,19,197,101,75,168,57,18
sarvam-saaras-v3@reverb-v2,7c9ePKgqams__299_869,Telugu,1530,1461,0.27647058823529413,0.469281045751634,0.27647058823529413,0.19281045751633985,0.13572433192686356,1146,276,108,39,423,997,279,254,185,1530,718,"{'SPEAKER_01': 'Speaker_B', 'SPEAKER_02': 'Speaker_C', 'SPEAKER_00': 'Speaker_D'}",1146,276,108,39,1530,423,193,1422,157,36
sarvam-saaras-v3@reverb-v2,7k-xDqNjESc__73_981,Malayalam,2159,2069,0.27095877721167205,0.5433070866141733,0.27095877721167205,0.2723483094025012,0.1879396984924623,1653,337,169,79,585,1368,319,472,382,2159,1173,"{'SPEAKER_01': 'Speaker_C', 'SPEAKER_00': 'Speaker_D'}",1653,337,169,79,2159,585,374,1990,295,79
sarvam-saaras-v3@reverb-v2,83gP2vLH7UY__255_2005,Devanagari,5799,4723,0.30367304707708226,0.3490256940851871,0.30367304707708226,0.04535264700810482,0.0918918918918919,4136,489,1174,98,1761,3991,516,1292,216,5799,2024,"{'SPEAKER_02': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_04': 'Speaker_C', 'SPEAKER_03': 'Speaker_D', 'SPEAKER_01': 'Speaker_E'}",4136,489,1174,98,5799,1761,425,4625,287,138
sarvam-saaras-v3@reverb-v2,86mMTUeDiR8__181_1079,Bengali,2267,2170,0.2439347154830172,1.0520511689457432,0.2439347154830172,0.8081164534627261,0.5087885985748218,1779,326,162,65,553,897,258,1112,1015,2267,2385,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_B'}",1779,326,162,65,2267,553,1071,2105,881,190
sarvam-saaras-v3@reverb-v2,87Zbup3ohcw__106_445,Tamil,741,730,0.15654520917678813,0.2496626180836707,0.15654520917678813,0.09311740890688258,0.0584958217270195,637,81,23,12,116,606,74,61,50,741,185,"{'SPEAKER_01': 'Speaker_B', 'SPEAKER_02': 'Speaker_C', 'SPEAKER_00': 'Speaker_D'}",637,81,23,12,741,116,42,718,34,8
sarvam-saaras-v3@reverb-v2,8Ve4SWhlrrA__0_70,Oriya,133,131,0.23308270676691728,0.2932330827067669,0.23308270676691728,0.06015037593984962,0.031496062992125984,106,21,6,4,31,102,21,10,8,133,39,{'SPEAKER_00': 'Speaker_A'},106,21,6,4,133,31,4,127,4,0
sarvam-saaras-v3@reverb-v2,8mvORuRHw2U__0_1197,Gujarati,3425,3414,0.20525547445255474,0.22744525547445255,0.20525547445255474,0.02218978102189781,0.0315203955500618,2900,336,189,178,703,2844,372,209,198,3425,779,"{'SPEAKER_03': 'Speaker_A', 'SPEAKER_01': 'Speaker_B', 'SPEAKER_00': 'Speaker_C', 'SPEAKER_02': 'Speaker_D'}",2900,336,189,178,3425,703,102,3236,63,39
sarvam-saaras-v3@reverb-v2,8o7jKmq6HsM__30_1770,Devanagari,4454,4224,0.2541535698248765,0.2633587786259542,0.2541535698248765,0.009205208801077669,0.01024390243902439,3446,654,354,124,1132,3431,643,380,150,4454,1173,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_03': 'Speaker_B', 'SPEAKER_04': 'Speaker_C', 'SPEAKER_02': 'Speaker_D', 'SPEAKER_05': 'Speaker_E', 'SPEAKER_00': 'Speaker_F'}",3446,654,354,124,4454,1132,42,4100,15,27
